filename	label
/work/dodohow1011/dysarthria_zh_command/D_SPK1/02/D_SPK1_c2 (4).wav	02
/work/dodohow1011/dysarthria_zh_command/D_SPK1/02/D_SPK1_c2 (8).wav	02
/work/dodohow1011/dysarthria_zh_command/D_SPK1/02/D_SPK1_c2 (3).wav	02
/work/dodohow1011/dysarthria_zh_command/D_SPK1/02/D_SPK1_c2 (9).wav	02
/work/dodohow1011/dysarthria_zh_command/D_SPK1/02/D_SPK1_c2 (10).wav	02
/work/dodohow1011/dysarthria_zh_command/D_SPK1/02/D_SPK1_c2 (2).wav	02
/work/dodohow1011/dysarthria_zh_command/D_SPK1/02/D_SPK1_c2 (1).wav	02
/work/dodohow1011/dysarthria_zh_command/D_SPK1/05/D_SPK1_c5 (4).wav	05
/work/dodohow1011/dysarthria_zh_command/D_SPK1/05/D_SPK1_c5 (10).wav	05
/work/dodohow1011/dysarthria_zh_command/D_SPK1/05/D_SPK1_c5 (9).wav	05
/work/dodohow1011/dysarthria_zh_command/D_SPK1/05/D_SPK1_c5 (1).wav	05
/work/dodohow1011/dysarthria_zh_command/D_SPK1/05/D_SPK1_c5 (5).wav	05
/work/dodohow1011/dysarthria_zh_command/D_SPK1/05/D_SPK1_c5 (6).wav	05
/work/dodohow1011/dysarthria_zh_command/D_SPK1/05/D_SPK1_c5 (2).wav	05
/work/dodohow1011/dysarthria_zh_command/D_SPK1/08/D_SPK1_c8 (1).wav	08
/work/dodohow1011/dysarthria_zh_command/D_SPK1/08/D_SPK1_c8 (4).wav	08
/work/dodohow1011/dysarthria_zh_command/D_SPK1/08/D_SPK1_c8 (3).wav	08
/work/dodohow1011/dysarthria_zh_command/D_SPK1/08/D_SPK1_c8 (9).wav	08
/work/dodohow1011/dysarthria_zh_command/D_SPK1/08/D_SPK1_c8 (7).wav	08
/work/dodohow1011/dysarthria_zh_command/D_SPK1/08/D_SPK1_c8 (6).wav	08
/work/dodohow1011/dysarthria_zh_command/D_SPK1/08/D_SPK1_c8 (8).wav	08
/work/dodohow1011/dysarthria_zh_command/D_SPK1/11/D_SPK1_c11 (3).wav	11
/work/dodohow1011/dysarthria_zh_command/D_SPK1/11/D_SPK1_c11 (9).wav	11
/work/dodohow1011/dysarthria_zh_command/D_SPK1/11/D_SPK1_c11 (4).wav	11
